Token,Cantidad de documentos que lo contienen,Posicion del primer registro en posting
99686,2,68300
996884,1,68302
996892,1,68303
99692,1,68304
99697,1,68305
99698,1,68306
99699,1,68307
997-1301,1,68308
997-8450,1,68309
997013,1,68310
99709,1,68311
9972,2,68312
997217,1,68314
99722,1,68315
99727,1,68316
9973,1,68317
99734,1,68318
997424,1,68319
997518,1,68320
99752,1,68321
997528,1,68322
997624,1,68323
997637,1,68324
99765,1,68325
997699,1,68326
99781,1,68327
99787,1,68328
99789,1,68329
997893,1,68330
99791,1,68331
99792,1,68332
997951,1,68333
99817,1,68334
998217,1,68335
99823,1,68336
99824794,1,68337
9983,1,68338
99836,2,68339
9984,1,68341
998460,1,68342
9985,2,68343
99850,1,68345
9986,1,68346
998615,1,68347
998638,1,68348
99873,1,68349
998851,1,68350
9989,1,68351
99894,1,68352
999,1,68353
99902,1,68354
999042,1,68355
99906,1,68356
99907,1,68357
9993,1,68358
99936,1,68359
9993749,1,68360
99941,2,68361
99956,1,68363
99968,1,68364
999690,1,68365
9997,1,68366
99972,1,68367
9998,1,68368
999944,1,68369
99budapest,1,68370
"99hungary,",2,68371
9:00,1,68373
"9:178-182,",1,68374
9:17pm,1,68375
9:30,1,68376
"9].""",1,68377
9ax,1,68378
"9ax,",1,68379
9february,1,68380
9fn,79,68381
9k,2,68460
9milliard,1,68462
9pgs,84,68463
9s,80,68547
9th,2,68627
9°,1,68629
9°c,1,68630
9”,1,68631
:,121,68632
:-),1,68753
:1955-56,1,68754
;,4,68755
;.,1,68759
<,1,68760
<1025,1,68761
<<,1,68762
<<---!!!!,1,68763
<<---==hazai,1,68764
<<---=hazai,1,68765
<<---hazai,1,68766
<<--a,1,68767
<head,1,68768
<td,5,68769
=,12,68774
=),1,68786
=20,1,68787
=46rancie,1,68788
==,1,68789
====,2,68790
=====,2,68792
======,2,68794
=======,2,68796
====karpotlasi,1,68798
===a,1,68799
==[kleptokratak,1,68800
==a,1,68801
==elmaradt,1,68802
==glatz,1,68803
==gyorshirekaz,1,68804
==hazai,7,68805
==infoservice,1,68812
==ke't,1,68813
==magyar,1,68814
==olimpiai,2,68815
==omri,1,68817
==regionalis,2,68818
==roman,1,68820
==szerb,1,68821
==uj,1,68822
=_nextpart_000_01bbc575.4ad5ed40,1,68823
=_nextpart_000_01bbc575.4ad5ed40--,1,68824
=a320,1,68825
=d0gyeszseg,1,68826
=hazai,2,68827
>,5,68829
>1035,1,68834
>10°c,1,68835
>>,1,68836
>>fenntarthato,1,68837
>>kimazsolaznimegszabadulni,1,68838
>access,1,68839
>and,1,68840
>anyone,1,68841
>at,1,68842
>because,1,68843
>concerning,1,68844
>conspiratorial,1,68845
>cycle?,1,68846
>even,1,68847
>for,1,68848
>going,1,68849
>gs-9,1,68850
>him/herself,1,68851
>i,1,68852
>information,1,68853
>jf,1,68854
>linkage,1,68855
>list,1,68856
>more,1,68857
>of,1,68858
>on,1,68859
>originally,1,68860
>reason.,1,68861
>somewhere,1,68862
>subscribers,1,68863
>that,1,68864
>the,1,68865
>who,1,68866
>with,1,68867
>yours,1,68868
?,2,68869
???,1,68871
?[a,1,68872
?the,1,68873
@,1,68874
@@@@@@@@@@@@@@@@@@@@@@@@@@,1,68875
[,24,68876
[!!!,1,68900
"[""amikor",1,68901
"[""attekintettem""",1,68902
"[""azon",1,68903
"[""batoritjak""",1,68904
"[""biztositani",1,68905
"[""egyuttmukodnek""",1,68906
"[""egyuttmukodnek"",",1,68907
"[""egyuttmukodunk""",1,68908
"[""elosegitik"",",1,68909
"[""ennek",1,68910
"[""esztet""",1,68911
"[""fejlesztik""",1,68912
"[""fejlesztik,",1,68913
"[""figyelemmel",1,68914
"[""hacsak""",1,68915
"[""half",1,68916
"[""kiemelt",1,68917
"[""lehet""",1,68918
"[""lehetosegek",1,68919
"[""ma""",1,68920
"[""osztonzik""",1,68921
"[""szalasi",1,68922
"[""szonoklatot???""",1,68923
"[""szorgalmazzak"",",1,68924
"[""tamogatjak""",1,68925
"[""tamogatjak"".",1,68926
"[""tiszteletben",1,68927
[**tehat,1,68928
[*lasd,1,68929
[...],1,68930
[...]1996,1,68931
[...][vége],1,68932
[...]a,1,68933
[...]az,1,68934
[...]biztos,1,68935
[...]juhasz,1,68936
[/milyen,1,68937
"[1,",1,68938
[1988,1,68939
"[2,",1,68940
"[3,",1,68941
"[4,",1,68942
"[<<-""nem",1,68943
[<<-ez,1,68944
[<<ez,3,68945
[?!],1,68948
[???],2,68949
"[???],",1,68951
[??],1,68952
[?],5,68953
[a,25,68958
[about,1,68983
[aesop,1,68984
[ahol,1,68985
[aki,1,68986
[akkor,3,68987
[almodik,1,68990
"[amellenyzsebebol,",1,68991
[amerikai,1,68992
[amerikaiul,1,68993
[ami,3,68994
[amig,1,68997
[amikor,1,68998
[amilyen,1,68999
[amivel,1,69000
[and],2,69001
[angol,1,69003
[antall],1,69004
"[arra,",1,69005
[at]destroying,1,69006
[available,1,69007
[az,12,69008
[azon,1,69020
[azt,2,69021
[bar,1,69023
[barmok.,1,69024
[barom.,1,69025
[baromsag.,1,69026
[bencsik,1,69027
[bezar,1,69028
[bizonyara,1,69029
[boduletes,1,69030
[bosegzavara:,1,69031
[budapest,1,69032
[bunko,1,69033
[bzsh,1,69034
"[call],",1,69035
[canada],1,69036
[class,1,69037
[communications],1,69038
[criminals,1,69039
[csak,2,69040
[csakhogy,1,69042
[csupan,1,69043
[csurka,1,69044
[de,2,69045
[december,1,69047
[delafrikai,1,69048
[demokraciakban,1,69049
[demokrata]javier,1,69050
[demokrata]lexikon,1,69051
"[dpge],",1,69052
[dupla,1,69053
[ebben,1,69054
[eddig],1,69055
[efforts],1,69056
[egyaltalan,1,69057
"[ejnyi,",1,69058
[el,1,69059
[elbocsatasok:,1,69060
[elektromos,1,69061
[eletszinvonalcsokkentest,1,69062
[elftarsak,1,69063
"[elftarsak,",1,69064
"[elftarsurak,",1,69065
[elkepeszto!,1,69066
[elkogyavetyelni,1,69067
"[ellentmondo,",1,69068
[emelyito,1,69069
[ennek,2,69070
"[erdekes,",4,69072
[erdemes,1,69076
[es,11,69077
[estalan,1,69088
[evvel,1,69089
[ez,10,69090
[ezek,1,69100
[ezekre,1,69101
[ezert,2,69102
[ezt,2,69104
[felhivjuk,1,69106
"[felo,",1,69107
[felvenni,1,69108
[first,1,69109
[folytatjuk],1,69110
[folytatjuk]túlszorul,1,69111
[forwarded,2,69112
[freedom,1,69114
[from,1,69115
[funar,1,69116
[g]overnment,1,69117
[gazdasagi,1,69118
[good],1,69119
"[gyulus,",1,69120
[ha,5,69121
[hazassagkotes,1,69126
[hazudozo,1,69127
"[hetfo,",1,69128
[hiszen,1,69129
[hoci,1,69130
[hogy,3,69131
[hol,3,69134
[home],4,69137
[homoszekszualitas,1,69141
"[hopp,",1,69142
[hoppa!,1,69143
"[hoppa,",2,69144
[horn,2,69146
[hornt,1,69148
"[huha,",1,69149
"[igaz,",1,69150
[igen].,1,69151
[igy,1,69152
[ilyen,1,69153
[ime,1,69154
[in,1,69155
[institute’s],1,69156
[instructors],1,69157
[intended,1,69158
[is],1,69159
[ismet,1,69160
[it,1,69161
[itt,2,69162
[jelenteset],1,69164
[jellemzo,2,69165
[jo,7,69167
"[jo,",1,69174
[journalists],1,69175
[karsai,1,69176
[kdnp,1,69177
"[kerdes,",1,69178
[keszul,1,69179
[ki,1,69180
[kiemeles,1,69181
"[kik?],",1,69182
[kis,1,69183
[kiveve,1,69184
[kleptokratak,1,69185
"[kleptokratak,",1,69186
[kormanybeli,1,69187
[kuczka,1,69188
[kuncze,1,69189
[lap,1,69190
[ld.a,1,69191
[le,1,69192
[leggompukkasztas,1,69193
[lengyelorszag,1,69194
[liberalbolsevik,1,69195
[liptak,1,69196
[liturgiarol,1,69197
[lokes,1,69198
[lovas,1,69199
[m.o.-on,1,69200
[magyar,4,69201
[magyarorszag,1,69205
[magyarorszagot,1,69206
[mail],4,69207
[mailing,1,69211
[maps],1,69212
[mar,2,69213
[mara,1,69215
[marhasag.,1,69216
[maris,1,69217
[mark,1,69218
[marmint,1,69219
[martyrs'],1,69220
[media],1,69221
[meg,1,69222
[megegyszer:,1,69223
"[megint,",1,69224
[megjelent,1,69225
[megvan,1,69226
[melleklet]ajandekozzon,1,69227
[mely,1,69228
[menetkozben,1,69229
[meri-e,1,69230
[mert,1,69231
[mh],1,69232
[mi,5,69233
[miert,3,69238
[mifele,2,69241
[mihez,1,69243
[milyen,5,69244
[mindez,1,69249
[mintha,1,69250
[miota,1,69251
[mit,3,69252
[mitol,1,69255
[mivel,1,69256
[mondja,1,69257
[most,4,69258
[munkavallaloireszveny,1,69262
[na,2,69263
"[na,",7,69265
"[nagyszeru,",1,69272
"[namarmost,",1,69273
[nato],1,69274
[ne,1,69275
[nem,4,69276
[nemzet,1,69280
[nepszabadsag?],1,69281
[next],4,69282
[no,2,69286
[normalis,1,69288
"[nos,",2,69289
[note:,1,69291
[of,4,69292
[on,1,69296
[orban,1,69297
[pancser,1,69298
[panem,1,69299
[parlament!,1,69300
[part],1,69301
[pedig,1,69302
[pellionisz,1,69303
"[persze,",2,69304
[peto,1,69306
[petri,1,69307
[philosophies],1,69308
[picit,1,69309
[pl.,2,69310
[pont,1,69312
[presidential],1,69313
[previous],2,69314
[primakov,1,69316
[primitiv,1,69317
[protected,1,69318
"[pufajkas,",1,69319
[pufajkas-avosgyerek-patkany,1,69320
[registration,1,69321
[revival],1,69322
[rohej.,1,69323
[romania,1,69324
[russian],1,69325
[rövidítve],1,69326
[search],1,69327
[see,1,69328
[senate,1,69329
[slovak,1,69330
[sokaig,1,69331
"[sot,",2,69332
[standard,1,69334
[stationed,1,69335
[suket,1,69336
[szabo,1,69337
[szekeres,1,69338
[szeleskoruen,1,69339
[szemkiszuras.,1,69340
[szent,20,69341
"[szep,",2,69361
[szerint,1,69363
[szerintunk,1,69364
[szerk.,1,69365
[szerk.]=benedek,1,69366
[szerk:,1,69367
[szinte,1,69368
[szombat],1,69369
[szoval,1,69370
[t]he,1,69371
[tagabb]szilikonvolgy,1,69372
[talan,1,69373
[tanacs,1,69374
[tehateladtak,1,69375
[teljes,1,69376
[teruletu],1,69377
[tetszenek,1,69378
[the,1,69379
[tiszta,1,69380
[tokeletes,1,69381
[tonkretenni,1,69382
[top,11,69383
[tudjuk:,1,69394
[ugy,1,69395
[ugye,2,69396
"[ugye,",1,69398
"[ugyebar,",1,69399
[uj,2,69400
[ujsagirasbol,1,69402
[um]==szlovakia,1,69403
[under,2,69404
[united,1,69406
[up],4,69407
[ures],1,69411
[utobbi,1,69412
[vagyis,4,69413
"[vagyis,",2,69417
[vajon,4,69419
[vajonmegvan-e,1,69423
"[valahonnan,",1,69424
[valasz,1,69425
[vegre,1,69426
[which],1,69427
[who,1,69428
[who],2,69429
[zarojelben,1,69431
[zarojeles],1,69432
\,1,69433
],22,69434
]3.,1,69456
]=regionalis,1,69457
]=valogatott,1,69458
]a,1,69459
]az,1,69460
]bencsik,1,69461
]friedrich,1,69462
]mar,1,69463
"]oseink,",1,69464
]peldaerteku,1,69465
]szinten,1,69466
]termeszetesen,1,69467
]|,2,69468
_,1,69470
________,1,69471
________________,1,69472
________________________,2,69473
_________________________,1,69475
____________________________________________,1,69476
____________________________________________________,1,69477
__________________________________________________________________,1,69478
_especially_,1,69479
```chris',1,69480
``after,1,69481
``i,1,69482
``over,1,69483
``regular,1,69484
``this,1,69485
``worked,1,69486
`at,1,69487
`baseline',1,69488
`chris',1,69489
"`chris',",1,69490
`clusters',1,69491
`easier,1,69492
`front-end',1,69493
`how,1,69494
`john',1,69495
"`john',",1,69496
`merseyside,1,69497
`reduce,1,69498
`something,1,69499
`working,1,69500
a,404,69501
"a""biztosat""",1,69905
"a""dokumentumokat"",",1,69906
"a""fuggetlen""",1,69907
"a""helyszinen""",1,69908
"a""hivatalos""",1,69909
"a""kettos",1,69910
"a""kolcsonosseg""",1,69911
"a""kozpenzek",1,69912
"a""magyarositas""",1,69913
"a""massag",1,69914
"a""nagy",1,69915
"a""spekulativ""",1,69916
a$360,1,69917
a$690.,1,69918
a&c,2,69919
a'lda'st,1,69921
a'll,1,69922
a'llja'k,1,69923
a'lorszag,1,69924
a'lszent,1,69925
"a'lvila'g,",1,69926
a'mitas:,1,69927
a'ssa,1,69928
a'tok,1,69929
a'vermagyaroknak',1,69930
a'zva,1,69931
a(412),1,69932
a),4,69933
a+,1,69937
"a,",4,69938
a-11,1,69942
a-3823,1,69943
a-510,1,69944
a-l,1,69945
a-m,1,69946
"a-r,",1,69947
a.,47,69948
"a.a.,",1,69995
"a.c.s.w.,",1,69996
a.d.,1,69997
a.d.as,1,69998
a.domeniconi,1,69999
a.estenssoro,1,70000
a.f.l.,1,70001
a.hitler).,2,70002
a.j.,1,70004
a.j.p.,1,70005
a.k.a.,1,70006
a.l.,1,70007
a.m.,9,70008
"a.m.,",2,70017
a.manning,1,70019
a.n.,1,70020
"a.s.i.d.,",1,70021
"a.s.l.a.,",1,70022
a.submit,1,70023
a.w.,1,70024
a/b-,1,70025
a1,2,70026
"a1,",1,70028
a1-termpaper,104,70029
a100,1,70133
a120,1,70134
a12;,1,70135
a13.,1,70136
a19,1,70137
a250,1,70138
a3,1,70139
a3-4,1,70140
a3-as,1,70141
a30,1,70142
a33.,1,70143
a460,1,70144
a5,1,70145
a6,1,70146
a7,1,70147
a95-os,1,70148
a:,7,70149
a;,1,70156
a=,1,70157
aa,2,70158
aa1000,1,70160
aa2000,1,70161
aa4000,1,70162
aa602669,1,70163
aa656642,1,70164
aaa,6,70165
aaa's,1,70171
"aaa,",1,70172
aaa-thomas,1,70173
aaaaaamajgaaaaaacwapaaaaaaadadyaaaaaaeaaoqaae2ovn8w7ar4acaabaaaajwaaafjfoibh,1,70174
aaaeaaiwaqaaaauaaabttvrqaaaaab4aazabaaaajqaaaenmt0fluy1btkqtrefhr0vsu0btslvw,1,70175
aaeliberalis,1,70176
aaemassago,1,70177
aaemegvalosult,1,70178
aardvark,1,70179
aaron,3,70180
aaron's,1,70183
aaron.,1,70184
aarp,1,70185
aarp.,1,70186
aas,1,70187
"aas,",1,70188
aasad,1,70189
ab,5,70190
"ab-hez,",1,70195
ab.,1,70196
ab386003,1,70197
ab554533,1,70198
ab814138,1,70199
ababa,1,70200
ababa.,1,70201
abacha.,1,70202
abacs-kiskun,1,70203
abalczo,1,70204
abalkanon,1,70205
abaloldalizasnak.,1,70206
abandon,4,70207
abandoned,1,70211
abandoning,3,70212
abandonment,2,70215
abang.,1,70217
abank,1,70218
abanknak,1,70219
abankoknak,1,70220
"abankrendszer,",1,70221
abankuralom,1,70222
abastece,2,70223
abastecer,1,70225
abasteciendo,1,70226
abastecimiento,1,70227
abate,1,70228
abated),1,70229
abatorfi-toth,1,70230
abazilika,1,70231
abb,4,70232
abb2000,1,70236
abba,3,70237
"abbahagyta,",1,70240
abbahagyta.,2,70241
abban,28,70243
"abban,",22,70271
"abban,hogy",1,70293
abban:,2,70294
"abbanremenykedik,",1,70296
"abbate,",1,70297
abbe,1,70298
"abbeval,",1,70299
abbey,1,70300
abbie.,1,70301
abbitt,2,70302
abbol,11,70304
"abbol,",2,70315
"abboladodnak,",1,70317
abból,2,70318
abc,5,70320
abdication,2,70325
abdnor,12,70327
abdomen,1,70339
abdominal,1,70340
abducted,1,70341
abduction,1,70342
abdul,3,70343
abecslesek,1,70346
abefizeteseket,1,70347
abefolyasolasi,1,70348
abehelyettesitésünk,1,70349
abeking,1,70350
abelugyminiszter,1,70351
abennunket,1,70352
abenzinarakat.,1,70353
abeolvaszto,1,70354
abercrombie,1,70355
abernethy,2,70356
aberranciajat,1,70358
abeszeloben,1,70359
"abetegeket,",1,70360
abetting,2,70361
"abetting,",2,70363
abiboros,1,70365
abide,3,70366
abiertos,2,70369
"abigail,",1,70371
abilities,12,70372
"abilities,",2,70384
abilities.,2,70386
ability,50,70388
"ability""",1,70438
"ability,",2,70439
ability.,4,70441
abizottsagi,1,70445
abiztatas.,1,70446
abiztosan,1,70447
abiztositotol.,1,70448
ablakok,1,70449
ablakon?][kormanyules:,1,70450
able,53,70451
"able-bodied,",2,70504
abm,2,70506
abmv,1,70508
abnormal,2,70509
abnormally,1,70511
aboard,12,70512
"aboimov,",1,70524
abolish,3,70525
abolishing,4,70528
abolishment,2,70532
abolishment.,1,70534
abolition,4,70535
"abolition,",1,70539
"abolition-caucus"".",1,70540
abolition.,1,70541
abolitionism,2,70542
"abolitionism,",1,70544
abolitionist,2,70545
abolitionist.,1,70547
abolitionists,1,70548
abolitionists.,1,70549
abolsevizmust.,1,70550
aboricultural,1,70551
aboriginal,1,70552
abort.,1,70553
aborted,2,70554
abortion,11,70556
"abortion,",3,70567
"abortion,social",1,70570
"abortion,utilitarian",1,70571
"abortion,utilitarianism",1,70572
abortion.,7,70573
abortions,5,70580
"abortions,",4,70585
"abortions,economic",1,70589
abortions.,2,70590
abortusz,1,70592
abortusz-tanacsadas,1,70593
"abortuszra,",1,70594
"abortuszt,",1,70595
aboszniai,2,70596
abou,2,70598
abourezk,7,70600
about,175,70607
"about,",4,70782
about.,1,70786
about;,1,70787
about?,1,70788
"about?"".",1,70789
above,29,70790
above),1,70819
"above),",1,70820
"above,",6,70821
above-average,1,70827
above.,9,70828
abovitessel,1,70837
abraham,4,70838
abrand]a,1,70842
abrasive,1,70843
"abrazolni,",1,70844
abre,1,70845
abreast,3,70846
abrechnung,1,70849
abrenthez,1,70850
abriendo,1,70851
abril,4,70852
abrir,1,70856
abrit,1,70857
abroad,15,70858
"abroad,",2,70873
abroad.,9,70875
"abroad.""",1,70884
abrupt,2,70885
abrussels,1,70887
abrutto,1,70888
"absalom,",2,70889
absence,17,70891
"absence,",2,70908
absence.,2,70910
absences,1,70912
absent,3,70913
absentee,1,70916
absenteeism,2,70917
"absentia""",1,70919
absentia.,1,70920
absolute,11,70921
absolutely,3,70932
"absolutely,",1,70935
absolutes.,2,70936
absorb,2,70938
absorbed,1,70940
absorbed?,1,70941
absorber,1,70942
absorbers,1,70943
absorption,1,70944
abstinence,1,70945
abstract,6,70946
"abstract,",2,70952
abstract-,1,70954
abstract.,6,70955
abstraction,1,70961
abstractions.,2,70962
abstracts,3,70964
absurd,1,70967
absurd.,1,70968
absurdism,1,70969
absurdist,1,70970
absurdities,1,70971
absurdity,3,70972
abszolut,7,70975
abszolute,1,70982
abszolutizmus,1,70983
abszolút,1,70984
abszurd,1,70985
"abszurd,",1,70986
abszurd.,1,70987
abszurditasat,1,70988
abszurdumbol]halzl,1,70989
abu,1,70990
abudapesti,4,70991
"abukassal,",1,70995
abumnerang,1,70996
abundance,5,70997
abundant,4,71002
"abunozesnek,",1,71006
abuntetes,1,71007
abunuldozo,1,71008
abuse,26,71009
"abuse""",1,71035
"abuse,",8,71036
abuse--known,1,71044
abuse.,10,71045
abuse:,1,71055
abuse;,1,71056
abused,3,71057
"abused,",1,71060
abuser,3,71061
"abuser,",1,71064
abuser.,1,71065
abusers,3,71066
abuses,9,71069
abusing,2,71078
abusive,4,71080
abusive.,1,71084
abuzz,1,71085
abzsh,1,71086
abzug,4,71087
abácska,1,71091
ac,1,71092
acad.,1,71093
academia,4,71094
academic,25,71098
academic/professional,1,71123
academically,1,71124
academics,1,71125
academics.,1,71126
academy,6,71127
"academy,",2,71133
academy;,1,71135
acadian,1,71136
acadians,1,71137
acambuco,2,71138
"acambuco),",1,71140
"acambuco,",2,71141
acambuco.,1,71143
acampbel@reed.edu,1,71144
acasa,1,71145
acatadas,1,71146
accelarating,1,71147
accelerated,3,71148
accelerating,1,71151
acceleration,5,71152
acceleration.,1,71157
accelerations,1,71158
"accelerations,",1,71159
accent,1,71160
accents.,1,71161
accentuated,1,71162
accentuating,1,71163
accept,26,71164
"accept,",1,71190
accept.,1,71191
acceptability,1,71192
acceptability.,1,71193
acceptable,13,71194
"acceptable""",1,71207
acceptable),1,71208
"acceptable,",1,71209
acceptance,11,71210
acceptance.,3,71221
accepte=,1,71224
accepted,13,71225
"accepted,",1,71238
accepting,6,71239
acception,1,71245
accepts,5,71246
acceso,1,71251
access,52,71252
"access,",3,71304
access.,5,71307
access:,2,71312
access;,1,71314
accessed,5,71315
"accessed,",1,71320
accesses,1,71321
"accesses,",1,71322
accessibility,2,71323
accessibility.,1,71325
accessible,7,71326
accessing,4,71333
"accessing,",1,71337
accesslogarchive,1,71338
accesslogexcludemethod,1,71339
accesslogexcludemimetype,1,71340
accesslogexcludereturncode,1,71341
accesslogexcludeurl,1,71342
accesslogexpire,1,71343
accesslogsizelimit,1,71344
accessories,6,71345
accessories.,3,71351
"accessprovider""",1,71354
accessreportdescription,1,71355
accessreportexcludehostname,1,71356
accessreportexcludemethod,1,71357
accessreportexcludereturncode,1,71358
accessreportexcludeurl,1,71359
accessreportincludehostname,1,71360
accessreportincludeurl,1,71361
accessreportroot,1,71362
accessreporttemplate,1,71363
accessreporttoplist,1,71364
accesswatch-1.33/,1,71365
accesswatch-1_33_tar,1,71366
accident,10,71367
accident),1,71377
"accident,",5,71378
accident.,1,71383
"accident.""",1,71384
accident:,1,71385
accidental,4,71386
"accidental,",2,71390
accidentally,3,71392
accidente,1,71395
accidentes.,1,71396
accidents,5,71397
accidents.,5,71402
accion,2,71407
accionaria,2,71409
accionarias,1,71411
accionario,2,71412
acciones,7,71414
"acciones,",1,71421
accionista.,1,71422
accionistas,3,71423
accionistas.,1,71426
acción,4,71427
acción.,1,71431
acclaim,1,71432
acclaim.,1,71433
acclaimed,2,71434
accom.-,1,71436
accommodate,4,71437
accommodated,1,71441
accommodating,1,71442
accommodation,5,71443
"accommodation,",1,71448
accommodations,2,71449
"accommodations""",1,71451
accommodations.,1,71452
accompanied,12,71453
accompany,5,71465
accompanying,4,71470
accomplice,1,71474
accomplish,6,71475
accomplished,6,71481
accomplished.,1,71487
accomplishes,1,71488
accomplishment,3,71489
"accomplishment.""",1,71492
accomplishments,4,71493
"accomplishments,",1,71497
accomplishments?,1,71498
accomplit,1,71499
accord,6,71500
"accord,""",1,71506
accord.,1,71507
accordance,11,71508
accorded,5,71519
according,69,71524
"accordingly,",3,71593
accords,2,71596
accords',1,71598
accords.,1,71599
account,56,71600
"account,",3,71656
account--usually,2,71659
account.,4,71661
accountability,3,71665
accountant,2,71668
accountant's,1,71670
"accountant,",2,71671
accountants,1,71673
"accountants,",1,71674
accounted,3,71675
accounting,18,71678
accounting's,1,71696
"accounting,",3,71697
accounting.,2,71700
accountings.,1,71702
accounts,16,71703
"accounts,",3,71719
accounts.,1,71722
accreditation,2,71723
accreditation--a,1,71725
accreditation.,1,71726
accredited,2,71727
accrete,1,71729
accrual,1,71730
accrue,3,71731
accrued,1,71734
accruement,2,71735
accruvest,1,71737
acculturation,2,71738
accumulate,1,71740
accumulated,6,71741
accumulating,2,71747
accumulation,1,71749
accumulator,1,71750
accuracies,3,71751
accuracy,12,71754
accuracy),1,71766
accuracy.,1,71767
accurate,11,71768
"accurate,",2,71779
accurate.,2,71781
accurately,6,71783
accurately.,1,71789
accusation.,1,71790
accusations,5,71791
"accusations,",1,71796
accuse,3,71797
accused,29,71800
"accused,",1,71829
accused.,1,71830
accuser;,1,71831
accusers,1,71832
accuses,2,71833
accusing,3,71835
accustomed,1,71838
acea,2,71839
aceaaaaynue2q0zfrjy3mzfemdexqjc4otawqza0rkqymtjgrqa0bwedkayakaqaabiaaaalacma,1,71841
aceite,3,71842
aceite.,1,71845
aceite?,1,71846
aceites,3,71847
acel-szivea,1,71850
acelerada,1,71851
acelerada.,1,71852
acelerando,1,71853
acelerar,1,71854
aceleró,1,71855
acelipar,1,71856
aceliparreorganizacios,1,71857
aceljuk.,1,71858
acelkohaszat,1,71859
acelmuvek,1,71860
acelszerkezeti,1,71861
aceptado,1,71862
aceptados,2,71863
acerbi,2,71865
achancellorship.,1,71867
achebe,1,71868
aches.,1,71869
achievable,2,71870
achievable.,1,71872
achieve,29,71873
achieve.,1,71902
achieve?,1,71903
achieved,11,71904
"achieved,",1,71915
achieved.,1,71916
achievement,13,71917
"achievement,",4,71930
achievement.,3,71934
achievements,2,71937
"achievements,",1,71939
achievements.,4,71940
achieving,8,71944
achieving.,1,71952
achilles,3,71953
"achilles,and",1,71956
achkhoi-,1,71957
"achkoi,",1,71958
achoy,1,71959
acid,4,71960
acid-base,1,71964
acids,2,71965
acinkossagot,1,71967
ackerman,5,71968
"ackerman,",1,71973
acknowledge,3,71974
acknowledged,3,71977
"acknowledged,",1,71980
acknowledges,1,71981
acknowledging,2,71982
acknowledgment,1,71984
acknowledgments,1,71985
aclu,3,71986
aclu's,1,71989
acma,1,71990
"acommunity,""",1,71991
acompañada,1,71992
acompañan,1,71993
acon's,1,71994
aconcentration,1,71995
acoplamientos,1,71996
acordado,2,71997
acordó,1,71999
"acordó,",1,72000
"acorns,",1,72001
acoustic,1,72002
acoustics,1,72003
acqiisition,1,72004
acqui-,1,72005
acquire,5,72006
acquired,20,72011
acquired.,1,72031
acquiring,5,72032
acquisition,11,72037
"acquisition,",2,72048
"acquisitions,",4,72050
acquisitive,1,72054
acquistion,1,72055
acquittals,1,72056
acquitted,1,72057
acre,1,72058
acrecentar,1,72059
acreedores,2,72060
"acreedores,",1,72062
acreedores;,1,72063
acres,1,72064
acres),1,72065
acrobat,1,72066
acronym,1,72067
across,23,72068
across.,1,72091
acs,1,72092
acsaladi,1,72093
acsaladok,1,72094
acsaladtamogatasok,1,72095
acsatlakozasi,1,72096
"acsehek,",1,72097
acsehszlovak,1,72098
acselekedetet,1,72099
acserepkalyhaba,1,72100
"acsingozunk,",1,72101
acskapcsot,1,72102
acsorognak,1,72103
acsucsnyomozoszerv,1,72104
acsurar-csaladot.,1,72105
act,59,72106
"act""",1,72165
"act"".",1,72166
act's,1,72167
"act),",1,72168
"act,",16,72169
act.,19,72185
act.-for,1,72204
"act3,",1,72205
act:,2,72206
act;,1,72208
act=,1,72209
acted,4,72210
acting,15,72214
action,46,72229
"action""",2,72275
"action,",9,72277
"action,,",1,72286
action.,11,72287
action:,1,72298
action;,1,72299
action?,1,72300
actions,36,72301
actions),1,72337
"actions,",5,72338
actions.,14,72343
actions:,1,72357
activamente,1,72358
activated,4,72359
activation,2,72363
activation.,1,72365
activation:,1,72366
active,15,72367
active-negative,1,72382
active-positive,1,72383
active.,1,72384
actively,4,72385
actively.,1,72389
activex,1,72390
actividad,7,72391
actividad.,1,72398
actividades,8,72399
activism,1,72407
activism.,1,72408
activist,1,72409
activists,9,72410
"activists,",3,72419
activities,54,72422
activities!,1,72476
"activities,",9,72477
"activities,""",1,72486
activities.,20,72487
"activities.""",1,72507
"activities/experiences,reinforcement",1,72508
activities;,1,72509
activities],1,72510
activitiesincompatible,1,72511
activity,47,72512
"activity""",1,72559
"activity""?",2,72560
"activity,",7,72562
"activity,technology,",1,72569
activity.,17,72570
activity;,2,72587
activo,6,72589
activos,7,72595
"activos,",1,72602
activos.,2,72603
activos:,1,72605
activos”,1,72606
actor,2,72607
actor's,3,72609
actor.,1,72612
actors,2,72613
"actors,",1,72615
actors.,1,72616
"actress,",2,72617
acts,20,72619
"acts,",2,72639
acts.,5,72641
acts?,1,72646
actuador,1,72647
actual,37,72648
actual.,1,72685
actualities,1,72686
actuality.,1,72687
actualización,1,72688
actualization,1,72689
actualization.,1,72690
actualize,1,72691
actually,28,72692
"actually,",1,72720
actualmente,2,72721
"actualmente,",1,72723
actuator,1,72724
acu,35,72725
"acuerde,",1,72760
acuerdo,7,72761
"acuerdo,",1,72768
acuerdo.,2,72769
acuerdos,4,72771
acuerdos.,2,72775
acuity,1,72777
acumulaciones,1,72778
acumulada,2,72779
acumulado,4,72781
acumulados,2,72785
acumulados.,1,72787
acupressure,1,72788
acupuncture,6,72789
