Token,Cantidad de documentos que lo contienen,Posicion del primer registro en posting
1506999,1,21203
150702,1,21204
150704,1,21205
15071,1,21206
150719,1,21207
15072,1,21208
150738,1,21209
15075,1,21210
150763,2,21211
150792,1,21213
15080,1,21214
15084,1,21215
150841,1,21216
150843,1,21217
15085,1,21218
15086,3,21219
150874040,1,21222
150878,1,21223
15088,1,21224
150911,1,21225
150924,1,21226
150938,1,21227
150943,1,21228
150949,1,21229
150957,1,21230
1509720,1,21231
150985,1,21232
150986,1,21233
150990,1,21234
1509928,1,21235
150993,2,21236
150a-151a.,1,21238
150°e.,1,21239
151,8,21240
151.181.149.206,1,21248
15100,1,21249
1510017,1,21250
151016,1,21251
151017,1,21252
15103,1,21253
151038,1,21254
151055,1,21255
1510551,1,21256
15106,1,21257
151061,1,21258
1510674,1,21259
151077,1,21260
151096,1,21261
15110,1,21262
151125,1,21263
15113,1,21264
15114,2,21265
1511402,1,21267
151142,1,21268
151143,1,21269
151160,1,21270
15117,1,21271
15121,1,21272
15122,1,21273
151220,1,21274
1512332,1,21275
151267,1,21276
151286,2,21277
151287,1,21279
1513,1,21280
151352,1,21281
151361,1,21282
151381,1,21283
1513875,1,21284
15139,1,21285
151396,1,21286
1513988,1,21287
151408,1,21288
1514185,1,21289
151419,2,21290
15142,1,21292
151435,1,21293
151457,1,21294
15147,1,21295
151489,1,21296
151496,1,21297
151497,1,21298
1515,1,21299
151514,1,21300
151515,1,21301
1515172,1,21302
151521,1,21303
151525,1,21304
1515440,1,21305
151554,1,21306
151595,1,21307
1515969,1,21308
151606,1,21309
15162,1,21310
15166,1,21311
1516657,1,21312
1516658,1,21313
15169,2,21314
151747,1,21316
151749,1,21317
151755,1,21318
151764,1,21319
151765,1,21320
151775,1,21321
151778,1,21322
1517783,1,21323
1517986,1,21324
151802,1,21325
151812,1,21326
151828,1,21327
151833,1,21328
151853,1,21329
15186,2,21330
151867,1,21332
151874,1,21333
151894,1,21334
151909,1,21335
151924,1,21336
1519342,1,21337
1519410,1,21338
151949,1,21339
151963,1,21340
151992,1,21341
151993,1,21342
152,6,21343
152.33,1,21349
1520,2,21350
152007,1,21352
152010,1,21353
1520163,1,21354
152034,1,21355
152038,1,21356
15204,1,21357
152044,1,21358
15205,1,21359
152056,1,21360
152091,1,21361
152097,1,21362
15210,1,21363
152104,1,21364
152106,1,21365
15211896,1,21366
152122,1,21367
1521323,1,21368
1521411,1,21369
152146,1,21370
152148,2,21371
152150,1,21373
152153,1,21374
152167,1,21375
15217,1,21376
152182424,1,21377
152187,1,21378
1521887,1,21379
152189,1,21380
15219,2,21381
152193,1,21383
15220,1,21384
152202,1,21385
15221,1,21386
152218,1,21387
15222,1,21388
152222,1,21389
1522372,1,21390
1522489,1,21391
152251,1,21392
152285,1,21393
152286,1,21394
152290,1,21395
152294,1,21396
1523,1,21397
1523026,1,21398
152316,1,21399
152328,1,21400
152329,1,21401
15233,1,21402
152334,1,21403
15234,1,21404
152357,1,21405
15236,1,21406
152363,1,21407
15238,1,21408
15239,1,21409
152390,1,21410
152393,1,21411
1524074,1,21412
152408,1,21413
152409,1,21414
152410,1,21415
15243,3,21416
152430,1,21419
152474,1,21420
152479,1,21421
152483,1,21422
152486,1,21423
152488,1,21424
152502,1,21425
152515,1,21426
152525,1,21427
1525276,1,21428
152544,1,21429
1525763,1,21430
15258,2,21431
152586,1,21433
1526,1,21434
"1526-ban,",1,21435
152642,1,21436
1526561,1,21437
152665,1,21438
152668,1,21439
15267,1,21440
152695,1,21441
152696,1,21442
1526984,1,21443
152715,1,21444
152735,1,21445
152749,1,21446
152756,1,21447
15276,5,21448
152768,1,21453
15277,1,21454
152777,1,21455
152786,1,21456
152789,1,21457
152794,1,21458
152802,1,21459
15282,1,21460
152828,2,21461
152831,1,21463
15284,1,21464
152843,1,21465
152848,1,21466
15287,1,21467
152871,1,21468
15290,1,21469
1529031,1,21470
15291,2,21471
152910,1,21473
1529154,1,21474
152929,1,21475
1529385,1,21476
152947,1,21477
15295,1,21478
152964,1,21479
152969,1,21480
15297,3,21481
1529870,1,21484
152998,1,21485
152nd,1,21486
153,9,21487
153.163.188.192,1,21496
153.44,1,21497
153.44.==dow,1,21498
1530179,1,21499
153044,1,21500
15305,5,21501
1530519,1,21506
153053,1,21507
15307,1,21508
153076,1,21509
15308,2,21510
1530892,1,21512
1531,1,21513
153107,1,21514
153108,1,21515
15311,1,21516
153110,1,21517
15313,1,21518
1531417,1,21519
153143,1,21520
153145,1,21521
153164975,1,21522
153170,1,21523
153189,1,21524
153191,1,21525
1532013,1,21526
1532092,1,21527
1532154,1,21528
153216,1,21529
153221,1,21530
1532265,1,21531
153247,1,21532
153272,1,21533
153275,1,21534
1532881,1,21535
153299,1,21536
15331,1,21537
153311,1,21538
153319,1,21539
153328,1,21540
153339,1,21541
153348,1,21542
153358,1,21543
153397,1,21544
1534,4,21545
153403,1,21549
153410,1,21550
153438,1,21551
15344,2,21552
153461,1,21554
15348,2,21555
153501,1,21557
1535057,1,21558
153516,1,21559
153518,1,21560
153520,1,21561
153527,1,21562
1535354,1,21563
15354,1,21564
1535495,1,21565
15355,1,21566
153553,1,21567
153576,1,21568
1535775,1,21569
153669,1,21570
153670,1,21571
153678,1,21572
153693,1,21573
153712,1,21574
153724,1,21575
15376,1,21576
153760,1,21577
15386,1,21578
1538623,1,21579
153895,1,21580
153896,1,21581
1539143,1,21582
153916,1,21583
15394,1,21584
15396,1,21585
153968,1,21586
153969,1,21587
1539712,1,21588
15399,1,21589
1539920,1,21590
154,5,21591
"154-1431,",1,21596
154.14,1,21597
15401,1,21598
15402,1,21599
15403,1,21600
154039,2,21601
154045,1,21603
154049,1,21604
15405,1,21605
1540797,1,21606
154081,1,21607
154099,1,21608
15414,1,21609
154169,1,21610
154176,1,21611
154180,1,21612
154184,1,21613
1541881,1,21614
15419,1,21615
154198,1,21616
1542,1,21617
154204,1,21618
15421,1,21619
15422,2,21620
154228,1,21622
154234,1,21623
154297,1,21624
15430,1,21625
154304,1,21626
154309,1,21627
154314,1,21628
15432,1,21629
154322,1,21630
1543335,1,21631
1543376,1,21632
"15434,",1,21633
15436,1,21634
154386,1,21635
154387,1,21636
154389,1,21637
15439,1,21638
154397,1,21639
154423849,1,21640
154426,1,21641
15443,1,21642
154434,1,21643
154435,1,21644
154441,1,21645
154443,1,21646
15445,1,21647
154455,1,21648
15446,2,21649
154461,1,21651
15447,1,21652
15448,1,21653
154487,2,21654
154505,1,21656
154518,1,21657
15453,1,21658
15454,1,21659
15456,1,21660
154575,1,21661
154580,1,21662
154584,1,21663
15465,1,21664
154650,1,21665
1546502,1,21666
154658,1,21667
154666,1,21668
1546683,1,21669
15467,1,21670
154686,1,21671
15469,1,21672
154691,1,21673
1547,1,21674
15470,1,21675
1547075,1,21676
1547081,1,21677
154717,1,21678
15473,1,21679
154733,1,21680
1547478,1,21681
15476,2,21682
15477,1,21684
154773,1,21685
154777,1,21686
1547919,1,21687
154821,1,21688
1548223,1,21689
154824,1,21690
154830,1,21691
1548337,1,21692
154836,1,21693
154847,1,21694
15485,1,21695
15487,1,21696
1548727,1,21697
15490,1,21698
154917,1,21699
154933,1,21700
15494,1,21701
1549412,1,21702
154962,1,21703
15497,1,21704
154981,1,21705
15499,1,21706
154992,1,21707
154993,1,21708
155,8,21709
"155,52001",1,21717
1550,1,21718
155012,1,21719
155019,1,21720
155024,1,21721
155026,1,21722
1550295,1,21723
155035,1,21724
155064,1,21725
1550782,1,21726
155084695,1,21727
155089,1,21728
1551,1,21729
15510,1,21730
155102,1,21731
155107,1,21732
155108,1,21733
155119,1,21734
155120,1,21735
15514,2,21736
155142,1,21738
155146,1,21739
1551593,1,21740
155164,1,21741
155166,1,21742
155179,1,21743
155185,1,21744
15519,2,21745
1551963,1,21747
15520,1,21748
155217,1,21749
155226,1,21750
155233,1,21751
15524,1,21752
1552582,1,21753
1552762,1,21754
15528354,1,21755
155306,1,21756
155313,1,21757
155315,1,21758
155318,1,21759
15533,2,21760
155341,1,21762
15535,1,21763
155375,1,21764
15542,1,21765
15545,2,21766
15546,1,21768
155466,1,21769
155489,1,21770
155510,1,21771
155522,1,21772
15553,1,21773
15554,2,21774
155569,1,21776
155573,1,21777
15558,1,21778
155581,1,21779
155585,1,21780
155588,1,21781
155598,1,21782
155608,1,21783
15561,1,21784
155612,1,21785
155619,1,21786
15563,1,21787
155648,1,21788
155674,1,21789
15569,4,21790
1557-1574.,1,21794
155712,1,21795
1557142,1,21796
15572,4,21797
15573,1,21801
155742,1,21802
155752,1,21803
155769,1,21804
155771,2,21805
155778,1,21807
155783,1,21808
1557981,1,21809
155801,1,21810
155806,1,21811
155825,1,21812
155840,1,21813
155846,1,21814
155859,1,21815
15587,1,21816
155880,1,21817
155907,1,21818
1559109,1,21819
155931,1,21820
1559405,1,21821
155951,1,21822
15596,2,21823
155964,1,21825
155969,1,21826
155973,1,21827
15598,1,21828
1559832,1,21829
155987,1,21830
156,7,21831
156001,1,21838
156003,1,21839
15601,1,21840
15603,1,21841
1560477,1,21842
156048,1,21843
15607,1,21844
156073,1,21845
156076,1,21846
15610,1,21847
156105,1,21848
156109,1,21849
15611,1,21850
15612,1,21851
156124,1,21852
15615,1,21853
156153,1,21854
156160,1,21855
156170,1,21856
156172,1,21857
156183,1,21858
156189,1,21859
156195,1,21860
156200,1,21861
156202,1,21862
156203,1,21863
1562239,1,21864
156235,1,21865
156246,1,21866
15625,1,21867
156252,1,21868
1562568,1,21869
156269,1,21870
156270,1,21871
156291,1,21872
1563007,1,21873
156305,1,21874
156311,1,21875
15632,1,21876
156320,1,21877
156322,1,21878
156325,1,21879
156342,1,21880
156348,1,21881
156361,1,21882
156367,1,21883
15637,1,21884
156373,1,21885
15638,1,21886
156402,1,21887
15641,1,21888
15642,2,21889
156425,1,21891
15643,1,21892
156456,1,21893
15646,1,21894
1564738,1,21895
1564780,1,21896
156500,1,21897
156504,1,21898
156515,1,21899
156559,1,21900
156562,1,21901
1565692,1,21902
156574,1,21903
15658,1,21904
15659,1,21905
1566,1,21906
15661,1,21907
156615,1,21908
156624,1,21909
156626,1,21910
15663,3,21911
156632,1,21914
156643,1,21915
15665,1,21916
156655,2,21917
156658,1,21919
15666,1,21920
15667,1,21921
156681,2,21922
1567,2,21924
15670,1,21926
156705,1,21927
156707,1,21928
156708670,1,21929
156711,1,21930
1567168,1,21931
1567317,1,21932
156742,1,21933
156752,1,21934
156773,1,21935
156790,1,21936
1568,3,21937
156808,1,21940
156810,1,21941
15682,1,21942
156821,1,21943
1568324,1,21944
1568332,1,21945
156840,1,21946
156892,1,21947
15690,3,21948
1569053,1,21951
156910,1,21952
15692,1,21953
156951,1,21954
156962,1,21955
1569640,1,21956
15697,1,21957
156970,1,21958
156984,1,21959
157,8,21960
157.cikkelyében,1,21968
1570,1,21969
157001,1,21970
157002,1,21971
157003,1,21972
157004,1,21973
15701,1,21974
157012,1,21975
157014,1,21976
157047,1,21977
157059,1,21978
157065,1,21979
157095,1,21980
157099,1,21981
15710,1,21982
1571092,1,21983
1571098,1,21984
157120,2,21985
15714,1,21987
157141,1,21988
157149,1,21989
15716,1,21990
157170,1,21991
157187,1,21992
157197,1,21993
157213,1,21994
157223,1,21995
157225,1,21996
15725869,1,21997
157265,1,21998
157274,1,21999
157278,2,22000
157280,1,22002
157300,1,22003
1573072,1,22004
157322,1,22005
157329,1,22006
157330,1,22007
157361,1,22008
157363,1,22009
1573662,1,22010
1573753,1,22011
157379,1,22012
15738,1,22013
15739,1,22014
157392,1,22015
15740,1,22016
157410,1,22017
157415,1,22018
15742,1,22019
1574396,1,22020
157444,1,22021
157446,1,22022
157453,1,22023
15747,2,22024
157472,1,22026
157479,1,22027
15749,1,22028
1575031,1,22029
15751,1,22030
157512,1,22031
157518,1,22032
157530,1,22033
157531,1,22034
15754,2,22035
157545,1,22037
15755,1,22038
157557,1,22039
1575595,1,22040
157565,1,22041
157567,1,22042
15759,1,22043
157597,1,22044
1576,1,22045
1576078,1,22046
157614,1,22047
157619,1,22048
157621,1,22049
15763,2,22050
157631,1,22052
157640,1,22053
157654,1,22054
15766,1,22055
15769,1,22056
157699,1,22057
157701,1,22058
157717,1,22059
15772,1,22060
1577283,1,22061
157741,1,22062
157765,1,22063
157768,1,22064
15777,1,22065
1577770,1,22066
157794,1,22067
15781,1,22068
1578209,1,22069
157826,1,22070
157833,1,22071
157836,1,22072
157857,1,22073
157862,1,22074
157864,2,22075
15791,1,22077
15793,1,22078
157936,1,22079
157937,1,22080
157938,1,22081
157969,1,22082
15798,1,22083
157980,1,22084
15799,1,22085
157;,1,22086
158,8,22087
158.100.170.204,1,22095
15800,2,22096
158001,1,22098
15801,2,22099
15801124,1,22101
158015,1,22102
158019,1,22103
158023,1,22104
1580334,1,22105
158041,1,22106
158053,1,22107
15805799,1,22108
1580594,1,22109
15806,2,22110
158060433,1,22112
158142,1,22113
15816,1,22114
15819,1,22115
1582,1,22116
158229,1,22117
1582293,1,22118
158237,1,22119
15826,1,22120
158260,1,22121
158262,1,22122
158266,1,22123
1583,3,22124
15830,1,22127
158301,1,22128
158307,1,22129
15834,1,22130
15834227,1,22131
15836,1,22132
158372,1,22133
15839,1,22134
158403,1,22135
15841,1,22136
158413,1,22137
158417,1,22138
15844,1,22139
158442,1,22140
158443,1,22141
158444,1,22142
158455,1,22143
158456,1,22144
15847,1,22145
158472445,1,22146
158473,1,22147
158474,1,22148
15848,1,22149
158486,1,22150
158499,1,22151
158501,1,22152
158520,1,22153
15853,1,22154
15854,1,22155
158545,1,22156
158556,1,22157
1585581,1,22158
158580,1,22159
158588,1,22160
1585915,1,22161
158604,1,22162
158616,1,22163
158622,1,22164
15864,1,22165
158641,1,22166
158643,1,22167
158644,1,22168
158648,1,22169
158659,1,22170
158661,1,22171
158672,1,22172
158683,1,22173
15869,2,22174
158707,1,22176
15872,5,22177
158724,1,22182
158730,1,22183
158731,1,22184
15878,1,22185
158785,1,22186
15879,1,22187
158808,1,22188
158858,1,22189
15887,1,22190
158905,1,22191
158906,1,22192
158922,1,22193
15893,1,22194
158939,1,22195
158940,1,22196
15896,3,22197
158966,1,22200
15898,1,22201
158996,1,22202
159,5,22203
159018,1,22208
159028,1,22209
15903,1,22210
15904,1,22211
159044,1,22212
15905,1,22213
159059,1,22214
159063,1,22215
159097,1,22216
1591,1,22217
159109,1,22218
159110,1,22219
159118,1,22220
15914,1,22221
159140,1,22222
159141,1,22223
159148,1,22224
1591615,1,22225
15917,1,22226
159181,1,22227
15920,2,22228
159203354,1,22230
159206,1,22231
159228014,1,22232
159263,1,22233
159294475,1,22234
15930,1,22235
159300,1,22236
159305,1,22237
15931,1,22238
159321,1,22239
159323,1,22240
159336,1,22241
159344,1,22242
1593530,1,22243
1593641,1,22244
15940,1,22245
159420,1,22246
159427,1,22247
15943,1,22248
15944,1,22249
159462,1,22250
159465,1,22251
159487,1,22252
15949,1,22253
159496,1,22254
1594982,1,22255
15950,1,22256
15952,1,22257
159525,1,22258
159527,1,22259
15955,1,22260
159550,1,22261
159562,2,22262
15957,1,22264
159580,1,22265
1596,1,22266
159607,1,22267
15962,1,22268
159665,1,22269
159676959,1,22270
159702,1,22271
159736,1,22272
15974,1,22273
159746,1,22274
159787,1,22275
1598,1,22276
15980,2,22277
159824,1,22279
159829,1,22280
159837,1,22281
159859,1,22282
15987,3,22283
15989,1,22286
15990,1,22287
159914,1,22288
159972,1,22289
159977,1,22290
159980,1,22291
159982,1,22292
159992,1,22293
159;,1,22294
159s,2,22295
15:,1,22297
15:00,1,22298
15:01,1,22299
15:02,1,22300
15:27,1,22301
15:28,1,22302
15:29,1,22303
15:30,1,22304
15:31,1,22305
15:32,1,22306
15:33,1,22307
15:37,1,22308
15:38,1,22309
15:39,1,22310
15:41,1,22311
15:42,1,22312
15:43,1,22313
15:43:14,1,22314
15:51,1,22315
15:52,1,22316
15:53,1,22317
15:54,1,22318
15:55,1,22319
15:56,1,22320
15april.,1,22321
15evvel,1,22322
15february.,1,22323
15fn,60,22324
15g;,2,22384
15k,3,22386
15pgs,71,22389
15s,42,22460
15th,7,22502
15w-40,2,22509
"15w-40,",1,22511
15°c,1,22512
16,70,22513
"16%,",1,22583
16%-al,1,22584
16),1,22585
"16,",11,22586
"16,000",1,22597
"16,3",1,22598
"16,6",1,22599
"16,8",2,22600
"16,976",1,22602
16-17,2,22603
16-17.,1,22605
"16-17washington,",1,22606
16-18,1,22607
16-21,1,22608
16-an,4,22609
16-an.,1,22613
16-and-over,1,22614
16-aug-96,1,22615
"16-ba,",1,22616
16-floor,1,22617
16-i,1,22618
16-year-old,1,22619
16.,11,22620
"16.,",1,22631
16.0,1,22632
16.00,2,22633
16.11,1,22635
16.163.188.192,1,22636
16.2,1,22637
16.3,1,22638
16.5,3,22639
16.581.818,1,22642
16.6%,1,22643
16.6%;,1,22644
16.63,1,22645
16.7,1,22646
"16.9,",1,22647
16.[9],1,22648
"16/d,",1,22649
160,8,22650
"160,000",2,22658
160.84,1,22660
1600,1,22661
1600's,2,22662
1600's.,3,22664
1600-1700,1,22667
1600-1874,1,22668
160001,1,22669
160024,1,22670
160028,1,22671
1600438,1,22672
160100,1,22673
1601051,1,22674
160108,1,22675
160112,1,22676
16013,1,22677
160131,1,22678
160132,1,22679
16013397,1,22680
160147,1,22681
16015,1,22682
16016,1,22683
160162,1,22684
1601790,1,22685
1602,1,22686
160203,1,22687
160204,1,22688
160228,1,22689
160246,1,22690
160296,1,22691
160299,1,22692
1603,1,22693
160306,2,22694
16034,1,22696
160343,1,22697
16036255,1,22698
160368391,1,22699
160377,1,22700
16038,1,22701
1603803,1,22702
160398,1,22703
1604,1,22704
16041,2,22705
160413,1,22707
160414,1,22708
16042,1,22709
16043,1,22710
160434,1,22711
1604513,1,22712
160458,1,22713
16047,1,22714
1605,1,22715
16050,1,22716
160518,1,22717
160521,1,22718
1605282,1,22719
1605327,1,22720
160534,1,22721
1605434,1,22722
1605456,1,22723
160549,1,22724
16055,1,22725
1605679,1,22726
1605716,1,22727
160587,1,22728
160593,1,22729
160595,1,22730
160607,1,22731
160615,1,22732
16062,2,22733
16063,1,22735
1606334,1,22736
16065,1,22737
160651,1,22738
160665,1,22739
16068,1,22740
160689,1,22741
1607,1,22742
1607-,1,22743
16071,1,22744
16075,1,22745
160783,1,22746
16084,1,22747
1608518,1,22748
160882,1,22749
160919,1,22750
16092,1,22751
160920,1,22752
160939,1,22753
16094,1,22754
160948,1,22755
1609493,1,22756
16095,1,22757
160957,2,22758
160963,1,22760
160;,1,22761
160°e-180°e),1,22762
161,7,22763
161-201.,1,22770
161/15,1,22771
"161/15,kuka",1,22772
161/60,1,22773
"161/60,",1,22774
16101,1,22775
161010,1,22776
16103,1,22777
161046,1,22778
161051,1,22779
161057,1,22780
161065,1,22781
16107,1,22782
161079,1,22783
161089,1,22784
16110,2,22785
161130,1,22787
161158,1,22788
161163,1,22789
161172,1,22790
161173,1,22791
16121,1,22792
161220,1,22793
161227,1,22794
161230,1,22795
16124,1,22796
16125,1,22797
161256,1,22798
161257,1,22799
16128,1,22800
161281,1,22801
161282,1,22802
16129,1,22803
161294,1,22804
1613,1,22805
"1613,11996",1,22806
16130,1,22807
1613117,1,22808
1613140717,1,22809
1613260,1,22810
161330,1,22811
16135,1,22812
161360,1,22813
16139,1,22814
1613926,1,22815
1613996,1,22816
1614,1,22817
1614174,1,22818
161420,1,22819
16143,1,22820
161437,1,22821
161439,1,22822
161456,2,22823
161461,1,22825
161465,1,22826
16147,1,22827
1614718,1,22828
161505,1,22829
161515,1,22830
161518,1,22831
1615185,1,22832
16152,1,22833
161526221,1,22834
161534,1,22835
1615376,1,22836
161553,1,22837
161564,1,22838
16158,2,22839
161585,1,22841
161595,1,22842
161603,1,22843
161614,1,22844
161620,1,22845
161643,1,22846
161657,1,22847
161660,1,22848
161674,1,22849
161690,1,22850
161713,1,22851
161749,1,22852
161759,1,22853
16176,1,22854
161788,1,22855
161791,1,22856
1618,1,22857
16180,1,22858
161826,1,22859
16184,1,22860
161841,1,22861
16185,1,22862
161860,1,22863
16187,1,22864
"1619,",1,22865
161909,1,22866
161911,1,22867
161915,1,22868
161922,1,22869
161938,1,22870
16195,1,22871
161978,1,22872
161979,1,22873
1619982,1,22874
162,8,22875
162.136.73.198,1,22883
162.9,1,22884
1620,1,22885
162005,1,22886
162012,1,22887
162021,1,22888
162026,1,22889
162060946,1,22890
162096,1,22891
1621,1,22892
16210,1,22893
1621008,1,22894
162111,1,22895
162115064,1,22896
162116,1,22897
162129,1,22898
1621469,1,22899
162152,1,22900
162161,1,22901
162162,1,22902
162181,1,22903
16220,1,22904
1622164,1,22905
162222,1,22906
162236,1,22907
162319,1,22908
16232,3,22909
162336,1,22912
1623373,1,22913
162346,1,22914
16235,1,22915
162359,1,22916
162382565,1,22917
1624,3,22918
162409,1,22921
16241,1,22922
162411,1,22923
162439,1,22924
162446,1,22925
162452,1,22926
162472,1,22927
16249,1,22928
162490,1,22929
1624940,1,22930
1625,1,22931
162503,1,22932
16253,1,22933
16255,1,22934
162557,1,22935
162570,1,22936
162614,1,22937
1626174,1,22938
1626302,1,22939
1626486,1,22940
16266,1,22941
162664,1,22942
162670,1,22943
16269,1,22944
162693,1,22945
1627119,1,22946
1627208,1,22947
162735,1,22948
162742,1,22949
16275,1,22950
162756,1,22951
162759,1,22952
162763,1,22953
1627676,1,22954
162769,1,22955
16277,1,22956
16278,1,22957
16279,1,22958
16280,1,22959
162822,1,22960
1628366,1,22961
162840,1,22962
162851,1,22963
162857,1,22964
162868,1,22965
16287,1,22966
162870,1,22967
16288,4,22968
162880,1,22972
162882,1,22973
162886,1,22974
1629,1,22975
16291,1,22976
16292,1,22977
162925,1,22978
16296,1,22979
162969,1,22980
162978,1,22981
16298,1,22982
162987,1,22983
163,7,22984
163.11.175.140,1,22991
163.128.233.141,1,22992
163/15,1,22993
1630077,1,22994
163021,1,22995
163039,1,22996
163041,1,22997
163047,1,22998
163083,1,22999
16310,1,23000
163103,1,23001
163109,1,23002
1631100,1,23003
1631208,1,23004
1631265,1,23005
163142,1,23006
163145,1,23007
1631575,1,23008
16317,1,23009
16318,1,23010
163194,1,23011
163205,1,23012
16321,4,23013
163213,1,23017
16322,2,23018
16323,1,23020
1632332,1,23021
163247,1,23022
163257,1,23023
16326,1,23024
16329,1,23025
163292,1,23026
16330,1,23027
16331,1,23028
16333,1,23029
1633865,1,23030
16340,2,23031
16341,1,23033
163411,1,23034
163454,1,23035
163485,1,23036
1635/-,1,23037
163512,1,23038
163514,1,23039
163515,1,23040
1635184,1,23041
1635300,1,23042
163534,1,23043
163563,1,23044
16357,1,23045
163575,1,23046
1635976,1,23047
1636,1,23048
163608,1,23049
1636152,1,23050
1636185,1,23051
163634,1,23052
163660,1,23053
1636628,1,23054
1636635,1,23055
163669,1,23056
16367,1,23057
163693,2,23058
163703,1,23060
163708,1,23061
1637280,1,23062
1637433,1,23063
163755,1,23064
163758,1,23065
16380,1,23066
163810,1,23067
163818,1,23068
163824,1,23069
16385,1,23070
163853,1,23071
16386,1,23072
16387,1,23073
1638743,1,23074
163882,1,23075
16389,1,23076
163893606,1,23077
163895,1,23078
16392,2,23079
16393,1,23081
1639378,1,23082
163950,1,23083
1639514,1,23084
1639672,1,23085
163996,1,23086
164,7,23087
1640,2,23094
16400,1,23096
164012,1,23097
164020,1,23098
164031,1,23099
164043565,1,23100
164057,1,23101
1640592,1,23102
16406,1,23103
164082,1,23104
164087,1,23105
164096,1,23106
1641,2,23107
164123,1,23109
16414,1,23110
16414197,1,23111
16417,1,23112
164171,1,23113
164174,1,23114
164177,1,23115
164178,1,23116
164180,1,23117
1642040,1,23118
164211,2,23119
164212,1,23121
164214,1,23122
16422,1,23123
16423,1,23124
164238,1,23125
164249,1,23126
16427,1,23127
164277,1,23128
164282,1,23129
164291,1,23130
164300,1,23131
164312,1,23132
1643238,1,23133
164332,1,23134
164345,1,23135
164346,1,23136
16435,1,23137
164376,1,23138
164381,1,23139
1644,1,23140
164408,1,23141
16442,3,23142
164423,1,23145
164424,1,23146
164427,1,23147
164444,1,23148
164465,1,23149
164481,1,23150
164482,1,23151
164518,1,23152
16452,1,23153
164529,1,23154
16456,1,23155
164560,1,23156
164569,1,23157
1645976,1,23158
1646,1,23159
16460,1,23160
164613,1,23161
16462,1,23162
164628,1,23163
164638,1,23164
1646511,1,23165
164679,1,23166
164685,1,23167
164693,1,23168
16472,1,23169
164737,1,23170
164754,1,23171
164767,1,23172
164788,1,23173
164802,1,23174
16481,1,23175
164815,1,23176
164829,1,23177
1648313,1,23178
164850,1,23179
164863,1,23180
1648647,1,23181
164865,1,23182
1648690,1,23183
164880,1,23184
164894,1,23185
16491,1,23186
164915,1,23187
164923,1,23188
1649308,1,23189
1649475,1,23190
16495,1,23191
164968,1,23192
164983,1,23193
16499,1,23194
165,7,23195
165013,1,23202
1650498,1,23203
165059,1,23204
165092,1,23205
165100,1,23206
165144,2,23207
165157,1,23209
1651861,1,23210
1652,1,23211
165204,1,23212
165242,1,23213
165252,1,23214
1652526,1,23215
165271,1,23216
165273,1,23217
1652765,1,23218
165277,1,23219
165284,1,23220
16531,1,23221
165310,1,23222
1653241,1,23223
16534,1,23224
165354,1,23225
165369,1,23226
165390,1,23227
165391,1,23228
165403,1,23229
165409,1,23230
165429,1,23231
165435,1,23232
16545,1,23233
165457,1,23234
165459,1,23235
165466,1,23236
165487,1,23237
165491,1,23238
1654957,1,23239
165511,1,23240
1655148,1,23241
165520,1,23242
16555,1,23243
165552,1,23244
165559,1,23245
16557,3,23246
16558,1,23249
165589,1,23250
1655971,1,23251
1656016,1,23252
165619,1,23253
16562,2,23254
165654880,1,23256
165663,1,23257
1656837,1,23258
165697,1,23259
165710,1,23260
16572,1,23261
165724,1,23262
165725,1,23263
165732,1,23264
165758290,1,23265
16576,1,23266
165760,1,23267
165763,1,23268
1657833,1,23269
165792,1,23270
165794,1,23271
165815,1,23272
1658196,1,23273
16585,1,23274
165850,1,23275
165854,1,23276
165862,1,23277
165869,1,23278
165882,1,23279
1658836,1,23280
1658889,1,23281
16590,1,23282
165907,1,23283
16591,1,23284
165938,1,23285
1659389,1,23286
16596,2,23287
16598,1,23289
165982,1,23290
165987,1,23291
166,4,23292
166011,1,23296
1660250,1,23297
16603,1,23298
166039,2,23299
"166039,",1,23301
166048,1,23302
166051,1,23303
16606,1,23304
166066,1,23305
166073,1,23306
1661,1,23307
1661014,1,23308
1661190,1,23309
166121,1,23310
166131,1,23311
16614,1,23312
1661836,1,23313
166190,1,23314
166216,1,23315
1662477,1,23316
166254,1,23317
166259457,1,23318
16626,1,23319
166261,1,23320
16627,1,23321
166274,1,23322
166276,1,23323
166278,2,23324
166294,1,23326
166302,1,23327
166303,1,23328
166327,1,23329
1663394,1,23330
166344,1,23331
1663688,1,23332
166406,1,23333
166407,1,23334
166412,1,23335
166430,1,23336
166431,1,23337
166437,1,23338
166441,1,23339
166449510,1,23340
16646,1,23341
166481,1,23342
16650,1,23343
166501,1,23344
1665036,1,23345
166528,1,23346
166531,1,23347
16654,1,23348
1665547,1,23349
1665598,1,23350
166584,1,23351
16659,1,23352
1666,1,23353
16660528,1,23354
166606,1,23355
166608,2,23356
166630,1,23358
166633,1,23359
16667,1,23360
1666810,1,23361
16670,1,23362
166707,1,23363
166708,1,23364
16671,1,23365
166714,1,23366
166726,1,23367
166737,1,23368
166739,1,23369
166751,1,23370
1667719,1,23371
1667753,1,23372
166776,1,23373
16678,1,23374
166787,1,23375
1668,3,23376
166807,1,23379
16685,1,23380
166851,1,23381
16686,1,23382
166867,1,23383
166871,1,23384
1668856,1,23385
1668879,1,23386
166894,1,23387
1669,1,23388
16691,1,23389
